Category	Name	Address	City	State	PostalCode
Anonimize	Van Buren District Library	200 North Phelps Street	Decatur	MI	49045
Anonimize	Deckerville Public Library	3542 North Main Street	Deckerville	MI	48427
Anonimize	Roberts-Ingold Memorial Library	170 Raisin Street	Deerfield	MI	
Anonimize	Delton District Library	330 North Grove Street	Delton	MI	49046
Anonimize	Detour Area School And Public Library	202 South Division Street	Detour Village	MI	49725
Anonimize	Detroit Public Library	5201 Woodward Avenue	Detroit	MI	48202
Anonimize	Detroit Public Library - Bowen	3648 West Vernor Highway	Detroit	MI	48216
Anonimize	Detroit Public Library - Campbell	8733 W. Vernor	Detroit	MI	48209
Anonimize	Detroit Public Library - Chandler Park	12800 Harper Avenue	Detroit	MI	48213
Anonimize	Detroit Public Library - Chaney	16101 Grand River Avenue	Detroit	MI	48227
Anonimize	Detroit Public Library - Chase	17731 West Seven Mile Road	Detroit	MI	48235
Anonimize	Detroit Public Library - Conely	4600 Martin Street	Detroit	MI	48210
Anonimize	Detroit Public Library - Douglass Branch For Specialized Services	3666 Grand River Avenue	Detroit	MI	48208
Anonimize	Detroit Public Library - Duffield	2507 West Grand Boulevard	Detroit	MI	48208
Anonimize	Detroit Public Library - Edison	18400 Joy Road	Detroit	MI	48228
Anonimize	Detroit Public Library - Elmwood Park	550 Chene Street	Detroit	MI	48207
Anonimize	Detroit Public Library - Franklin	13651 East Mcnichols Road	Detroit	MI	48205
Anonimize	Detroit Public Library - Hubbard	12929 West Mcnichols Road	Detroit	MI	48235
Anonimize	Detroit Public Library - Jefferson	12350 East Outer Drive	Detroit	MI	48224
Anonimize	Detroit Public Library - Knapp	13330 Conant Street	Detroit	MI	48212
Anonimize	Detroit Public Library - Mark Twain Annex	4741 Iroquis Street	Detroit	MI	48214
Anonimize	Detroit Public Library - Montieth	14100 Kercheval Street	Detroit	MI	48215
Anonimize	Detroit Public Library - Municipal Reference Library	5201 Woodward Avenue	Detroit	MI	48202
Anonimize	Detroit Public Library - National Automotive History Collection	121 Gratiot	Detroit	MI	48226
Anonimize	Detroit Public Library - Parkman	1766 Oakman Boulevard	Detroit	MI	48238
Anonimize	Detroit Public Library - Redford	21200 Grand River	Detroit	MI	48219
Anonimize	Detroit Public Library - Sherwood Forest	7117 West Seven Mile Road	Detroit	MI	48221
Anonimize	Detroit Public Library - Skillman	121 Gratiot Avenue	Detroit	MI	48226
Anonimize	Detroit Public Library - Wilder	7140 East Seven Mile Road	Detroit	MI	48234
Anonimize	Dewitt Public Library	13101 Schavey Road	Dewitt	MI	48820
